ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Datum,State,Location,Altitude,Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos
J345 - Recollect,A-B,3,30,Eucalyptus albens,1/12/2016,,-35.07022,148.83685,WGS84,NSW,"Mullion, Mountain Creek Rd.",,Sandstone/Limestone,Rocky shale,,"J.Janes, T.Collins",Common,,,Present,J345
J346,A-D,5,31,Eucalyptus melliodora,20/11/2015,,-35.06954,148.83661,WGS84,NSW,"Mullion, Mountain Creek Rd.",498,Sandstone/Limestone,Rocky shale,NE,J.Janes,Common,Present,Present,Present,J346
J346 - Recollect,A-C,4,31,Eucalyptus melliodora,1/12/2016,,-35.06954,148.83661,WGS84,NSW,"Mullion, Mountain Creek Rd.",498,Sandstone/Limestone,Rocky shale,NE,"J.Janes, T.Collins",Common,Present,Present,Present,J346
J347,A-D,5,32,Eucalyptus polyanthemos,20/11/2015,,-35.09381,148.74881,WGS84,NSW,"Wee Jasper, Doctors Flat Rd.",740,limestone/granite,sandy,,J.Janes,Common,Present,,Present,J347
J348,A-D,5,33,Eucalyptus polyanthemos,20/11/2015,,-35.24184,148.29729,WGS84,NSW,"Wee Jasper, Wee Jasper Rd.",448,,,NE,J.Janes,Common,,,Present,J348
J348 - Recollect,A-D,5,33,Eucalyptus polyanthemos,1/12/2016,,-35.24184,148.29729,WGS84,NSW,"Wee Jasper, Wee Jasper Rd.",448,,,NE,"J.Janes, T.Collins",Common,,,Present,J348
J349,A-I,10,34,Eucalyptus albens,20/11/2015,,-35.24369,148.2968,WGS84,NSW,"Wee Jasper, Wee Jasper Rd.",462,,,NE,J.Janes,Common,,,Present,J349
J350,A-I,10,35,Eucalyptus albens,20/11/2015,,-35.2456,147.68083,WGS84,NSW,"Tarcutta, Mates Gully Rd.",276,Basalt,sand,S,J.Janes,Common,,,Present,J350
J350 - Recollect,,1,35,Eucalyptus albens,1/12/2016,,-35.2456,147.68083,WGS84,NSW,"Tarcutta, Mates Gully Rd.",276,Basalt,sand,S,"J.Janes, T.Collins",Common,,,Present,J350
J351,A-D,5,36,Eucalyptus polyanthemos (juv micro?),20/11/2015,,-35.25609,147.68506,WGS84,NSW,"Tarcutta, Mates Gully Rd.",287,Granite/Basalt,sand,S,J.Janes,Common,Present,Present,Present,J351
J351 area - Recollect,,1,36,Eucalyptus polyanthemos (juv micro?),1/12/2016,,-35.25609,147.68506,WGS84,NSW,"Tarcutta, Mates Gully Rd.",287,Granite/Basalt,sand,S,"J.Janes, T.Collins",Common,Present,Present,Present,J351
J352,A-I,10,37,Eucalyptus sideroxylon,20/11/2015,,-35.25665,147.68486,WGS84,NSW,"Tarcutta, Mates Gully Rd.",,Granite/Basalt,sand,S,J.Janes,Common,,,Present,J352
J353,A-D,5,38,Eucalyptus polyanthemos,20/11/2015,,-35.8453,147.19722,WGS84,NSW,"Blue Metal Rest Area, M31",338,Sandstone,sand-clay,SE,J.Janes,Common,Present,Present,Present,J353
J354,A-D,5,39,Eucalyptus moluccana,20/11/2015,,-35.84469,147.19794,WGS84,NSW,"Blue Metal Rest Area, M31",,,,,J.Janes,Common,Present,,Present,J354
J293,A-I,10,40,Eucalyptus sideroxylon,21/11/2015,,-36.09264,146.61917,WGS84,VIC,"Chiltern, Chiltern-Howlong Rd.",196,,gravel-sand,S,J.Janes,Common,,,Present,J355
J355 - Recollect,A-D,5,40,Eucalyptus sideroxylon,2/12/2016,,-36.09264,146.61917,WGS84,VIC,"Chiltern, Chiltern-Howlong Rd.",196,,gravel-sand,S,"J.Janes, T.Collins",Common,,,Present,J355
J355b,,,,Eucalyptus sideroxylon x microcarpa,21/11/2015,,-36.08961,146.62105,WGS84,VIC,"Chiltern, Chiltern-Howlong Rd.",196,,gravel-sand,S,J.Janes,Common,,,Present,J355B
J356,A-D,5,41,Eucalyptus microcarpa (?),21/11/2015,,-36.09272,146.61929,WGS84,VIC,"Chiltern, Chiltern-Howlong Rd.",194,,gravel-sand,S,J.Janes,Common,,,Present,J356
J357,A-D,5,42,Eucalyptus melliodora,21/11/2015,,-36.019,146.29446,WGS84,NSW,"Collendina State Forest, Spring Dr.",140,Granite,red sand,W,J.Janes,Common,Present,Present,Present,J357
J357 - Recollect,A-E,6,42,Eucalyptus melliodora,2/12/2016,,-36.019,146.29446,WGS84,NSW,"Collendina State Forest, Spring Dr.",140,Granite,red sand,W,"J.Janes, T.Collins",Common,Present,Present,Present,J357
J358,A-D,5,43,Eucalyptus melliodora,21/11/2015,,-35.38973,146.35303,WGS84,NSW,"Urana, Walbundrie Rd.",138,Granite,clay-sand,0,J.Janes,Common,,,Present,J358
J359,A-I,10,44,Eucalyptus sideroxylon,21/11/2015,,-34.47594,147.40941,WGS84,NSW,"Ingalba Nature Reserve, Hwy 94",327,Granite/Basalt,clay-loam,0,J.Janes,Common,,,Present,J359
J360,A-D,5,45,Eucalyptus conica,21/11/2015,,-34.01205,148.12904,WGS84,NSW,"Orange, Old Forbes Rd.",322,Granite,Fine sand w rock,0,J.Janes,Rare,,,Present,J360
J361,A-I,10,46,Eucalyptus albens,22/11/2015,,-33.42118,148.51154,WGS84,NSW,"Nangar Natl Park, Dripping Rock Rd.",525,,,N,J.Janes,Common,,,Present,J361
