Collection,Tree,,,,,,hddd.dddd,,ddd mm ss,,,,,,,,,,,,,,,,,,,,,,
ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Latitude,Longitude,Datum,State,Location,Altitude (m),Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species
J323,A,2,011,Eucalyptus largiflorens (?),2015-10-12,,-32.40498,150.36256,"-32°24'17.9280""","150°21'45.2160""",WGS84,NSW,"Wollomi NP, Bylong Valley Way",117,Granite,loam-sand,W,J.Janes,Rare,Present,,,J323,Ghania sp,Acacia sp,Callitris sp,Epacris sp,Bursaria spinosa,Oxalus,,
J324,A-E,6,012,Eucalyptus conica,2015-10-12,,-32.44442,150.2812,"-32°26'39.9120""","150°16'52.3200""",WGS84,NSW,"Wollomi NP, Bylong Valley Way",213,Granite,loam-sand,E,J.Janes,Common,,,,J324,,,,,,,,
J325,,,,Eucalyptus baueriana,2015-10-12,Gave this sample to Tim at request of Rose therefore never entered in herbarium as we do not have a voucher,-32.49536,150.90842,"-32°29'43.2960""","150°54'30.3120""",WGS84,NSW,"Jerrys Plains, Golden Hwy",110,Basalt/Mudstone,clay-loam,N,J.Janes,Rare,,,,J325,Roadside,,,,,,,
J326,A-D,5,013,Eucalyptus moluccana,2015-11-03,Apparently missing from herbarium,-28.21744,152.84309,"-28°13'02.7840""","152°50'35.1240""",WGS84,QLD,"Rathdowney, Boonah Rathdowney Rd",103,Mudstone,clay-loam,,J.Janes,Common,,Present,Present,J326,Acacia verniciflua,Roadside,,,,,,
J327,A-D,5,014,Eucalyptus crebra,2015-11-03,Apparently missing from herbarium,-28.45172,152.39250,"-28°27'06.1920""","152°23'33.0000""",WGS84,NSW,"Koreelah, Tooloom Rd",533,Granite,loam,N,J.Janes,Common,Present,,Present,J327,Casuarina cunninghamiana,Dianella revoluta,Acacia burrowii,Eustraphus latifolius,,,,
J328,A-D,5,015,Eucalyptus moluccana,2015-11-03,,-28.43038,152.35915,"-28°25'49.3680""","152°21'32.9400""",WGS84,NSW,"Legume, Mt Lindsay Rd",480,Granite,clay,SW,J.Janes,Common,,,Present,J328,Roadside,,,,,,,
J329,A-C,4,016,Eucalyptus conica,2015-11-03,,-28.41028,152.29292,"-28°24'37.0080""","152°17'34.5120""",WGS84,NSW,"Legume, Mt Lindsay Rd",564,Granite,sand,S,J.Janes,Common,Present,,Present,J329,Ficus sp,Acacia burrowii,Clematis sp,smooth gum,,,,
J330,A-D,5,017,Eucalyptus fibrosa,2015-11-04,,-28.19138,151.61853,"-28°11'28.9680""","151°37'06.7080""",WGS84,QLD,"Karara, Cunningham Hwy",525,Basalt,sand,N,J.Janes,Common,,,Present,J330,Acacia clivicola,Acacia hakeoides,Dodonea cuneata,Callitris columellaris,,,,
J331,A-D,5,019,Eucalyptus crebra,2015-11-04,,-28.29549,151.48801,"-28°17'43.7640""","151°29'16.8360""",WGS84,QLD,"Gore, Cunningham Hwy",510,granite/sandstone,sand-clay,SW,J.Janes,Common,Present,,Present,J331,Acacia clivicola,Acacia hakeoides,Dodonea cuneata,Callitris columellaris,Eucalyptus sp,,,
J332,A-D,5,018,Eucalyptus sp (microcarpa?),2015-11-04,,-28.29549,151.48801,"-28°17'43.7640""","151°29'16.8360""",WGS84,QLD,"Gore, Cunningham Hwy",510,granite/sandstone,sand-clay,SW,J.Janes,Common,,,Present,J332,Acacia clivicola,Acacia hakeoides,Dodonea cuneata,Callitris columellaris,Eucalyptus crebra,,,
J333,A-D,5,020,Eucalyptus caleyi,2015-11-04,,-28.52431,151.10556,"-28°31'27.5160""","151°06'20.0160""",WGS84,QLD,"Inglewood, Inglewood Texas Rd",340,granite/sandstone,sand-clay,NE,J.Janes,Common,,,Present,J333,Acacia leptocarpa,Acacia cultriformis,,,,,,
J334,A-D,5,021,Eucalyptus moluccana (?),2015-11-04,,-28.53696,151.10815,"-28°32'13.0560""","151°06'29.3400""",WGS84,QLD,"Inglewood, Inglewood Texas Rd",335,granite/sandstone,sand-clay,E,J.Janes,Common,,,Present,J334,Acacia leptocarpa,Acacia cultriformis,,,,,,
J335,A-D,5,022,Eucalyptus microcarpa,2015-11-04,,-28.89198,151.14803,"-28°53'31.1280""","151°08'52.9080""",WGS84,NSW,"Texas, Texas Bridge Road",334,Sandstone,clay-sand,,J.Janes,Common,Present,Present,Present,J335,Roadside,,,,,,,
J336,,,,Eucalyptus conica,2015-11-04,,-29.10132,151.77156,,,WGS84,NSW,"Mole Creek, Mole Station rd",435,Sandstone,clay-sand,,J.Janes,Common,Present,Present,,J336,Roadside,,,,,,,
J337,,,,DISCARDED,,,,,,,,,,,,,,,,,,,,,,,,,,,
J338,A-D,5,023,Eucalyptus conica,2015-11-05,,-29.15425,152.00211,"-29°09'15.3000""","152°00'07.5960""",WGS84,NSW,"Tenterfield, Bluff rock lookout",854,Granite,loam-clay,SW,J.Janes,Common,Present,Present,Present,J338,Roadside,,,,,,,
J339,A-C,4,024,Eucalyptus moluccana,2015-11-05,,-29.45636,151.55505,"-29°27'22.8960""","151°33'18.1800""",WGS84,NSW,"Emmaville, Strathbogie Rd",873,Granite,clay-loam,S,J.Janes,Common,,,Present,J339,Roadside,Eucalyptus melliodora,Acacia leptocarpa,,,,,
J340,A-D,5,025,Eucalyptus melliodora,2015-11-05,,-29.45577,151.55405,"-29°27'20.7720""","151°33'14.5800""",WGS84,NSW,"Emmaville, Strathbogie Rd",874,Granite,clay-loam,S,J.Janes,Common,Present,Present,Present,J340,Roadside,Eucalyptus moluccana,Acacia leptocarpa,,,,,
J341,A-D,5,026,Eucalyptus albens,2015-11-05,,-29.40223,151.41655,"-29°24'08.0280""","151°24'59.5800""",WGS84,NSW,"Yellow Dam, Emmaville Rd",770,Granite,sand,W,J.Janes,Common,,,Present,J341,Clematis microphylla,Acacia leptocarpa,Themeda sp,,,,,
J342,A-D,5,027,Eucalyptus sideroxylon,2015-11-05,,-29.39087,151.39279,"-29°23'27.1320""","151°23'34.0440""",WGS84,NSW,"Yellow Dam, Emmaville Rd",734,Granite,sand,S,J.Janes,Common,Present,Present,Present,J342,Callitris columellaris,Acacia sp,,,,,,
J343,A-D,5,028,Eucalyptus crebra,2015-11-05,,-29.35816,151.30991,"-29°21'29.3760""","151°18'35.6760""",WGS84,NSW,"Yellow Dam, Emmaville Rd",642,Granite/mudstone,clay,N,J.Janes,Common,Present,,Present,J343,Callitris columellaris,Styphelia triflora,Melichrus urceolatus,Leucopogan muticus,,,,
J344,A-D,5,029,Eucalyptus polyanthemos,2015-11-19,,-35.33962,148.91113,"-35°20'22.6320""","148°54'40.0680""",WGS84,ACT,"Pierces Creek State Forest, Vanitys Crossing",640,Granite,hard red,N,J.Janes,Common,,,Present,J344,Dianella,Lepidosperma,Plantago,Acacia leptocarpa,,,,
J345,A-D,5,030,Eucalyptus albens,2015-11-20,,-35.07022,148.83685,"-35°04'12.7920""","148°50'12.6600""",WGS84,NSW,"Mullion, Mountain Creek Rd.",,Sandstone/Limestone,Rocky shale,,J.Janes,Common,,,Present,J345,E. melliodora,Themeda,Briza maxima,Exocarpus,Stuphelia,Lepidosperma,Dianella,Bursania
J346,A-D,5,031,Eucalyptus melliodora,2015-11-20,,-35.06954,148.83661,"-35°04'10.3440""","148°50'11.7960""",WGS84,NSW,"Mullion, Mountain Creek Rd.",498,Sandstone/Limestone,Rocky shale,NE,J.Janes,Common,Present,Present,Present,J346,E. albens,,,,,,,
J347,A-D,5,032,Eucalyptus polyanthemos,2015-11-20,,-35.09381,148.74881,"-35°05'37.7160""","148°44'55.7160""",WGS84,NSW,"Wee Jasper, Doctors Flat Rd.",740,limestone/granite,sandy,,J.Janes,Common,Present,,Present,J347,Cassinia adunca,Acacia deanei,,,,,,
J348,A-D,5,033,Eucalyptus polyanthemos,2015-11-20,,-35.24184,148.29729,"-35°14'30.6240""","148°17'50.2440""",WGS84,NSW,"Wee Jasper, Wee Jasper Rd.",448,,,NE,J.Janes,Common,,,Present,J348,E. albens,Angophora,Briza maxima,Plantago,,,,
J349,A-I,10,034,Eucalyptus albens,2015-11-20,,-35.24369,148.29680,"-35°14'37.2840""","148°17'48.4800""",WGS84,NSW,"Wee Jasper, Wee Jasper Rd.",462,,,NE,J.Janes,Common,,,Present,J349,E. polyanthemos,Briza,Plantago,Angophora,,,,
J350,A-I,10,035,Eucalyptus albens,2015-11-20,,-35.24560,147.68083,"-35°14'44.1600""","147°40'50.9880""",WGS84,NSW,"Tarcutta, Mates Gully Rd.",276,Basalt,sand,S,J.Janes,Common,,,Present,J350,Roadside,,,,,,,
J351,A-D,5,036,Eucalyptus polyanthemos (juv micro?),2015-11-20,,-35.25609,147.68506,"-35°15'21.9240""","147°41'06.2160""",WGS84,NSW,"Tarcutta, Mates Gully Rd.",287,Granite/Basalt,sand,S,J.Janes,Common,Present,Present,Present,J351,E. sideroxylon,E. albens,Helichrysum brateatum,Acacia sp.,,,,
J352,A-I,10,037,Eucalyptus sideroxylon,2015-11-20,,-35.25665,147.68486,"-35°15'23.9400""","147°41'05.4960""",WGS84,NSW,"Tarcutta, Mates Gully Rd.",,Granite/Basalt,sand,S,J.Janes,Common,,,Present,J352,E. polyanthemos,,,,,,,
J353,A-D,5,038,Eucalyptus polyanthemos,2015-11-20,,-35.84530,147.19722,"-35°50'43.0800""","147°11'49.9920""",WGS84,NSW,"Blue Metal Rest Area, M31",338,Sandstone,sand-clay,SE,J.Janes,Common,Present,Present,Present,J353,E. moluccana,Roadside,,,,,,
J354,A-D,5,039,Eucalyptus moluccana,2015-11-20,,-35.84469,147.19794,"-35°50'40.8840""","147°11'52.5840""",WGS84,NSW,"Blue Metal Rest Area, M31",,,,,J.Janes,Common,Present,,Present,J354,E. polyanthemos,Roadside,,,,,,
J355,A-I,10,040,Eucalyptus sideroxylon,2015-11-21,,-36.09264,146.61917,"-36°05'33.5040""","146°37'09.0120""",WGS84,VIC,"Chiltern, Chiltern-Howlong Rd.",196,,gravel-sand,S,J.Janes,Common,,,Present,J355,Bayeria viscosa,Helichrysum viscosum,Acacia sp.,,,,,
