"sample.id","site.id","other.ids","total.num.samples","tag.num","species","species.notes","date","notes","latitude","longitude","datum","state","location","altitude","geology","soil","aspect","collector","abundance","buds","flowers","fruit","photos","associated.species"
"J316","J316",,1,"NA","crebra","Eucalyptus crebra","2015-09-30",,-30.92855,149.36347,"WGS84","NSW","Pilliga, no 1 break rd",433,"Basalt","Sand",,"J.Janes","rare","Present",,,"J316","Zieria aspalathoides;Boronia sp;Acacia sp;Spyridium sp;;;;;"
"J317","J317",,1,"NA","crebra","Eucalyptus crebra","2015-09-30",,-30.14459,150.0534,"WGS84","NSW","Sawn Rocks, parking lot",485,"Basalt","Sand","W","J.Janes","Rare",,,"Present",,";;;;;;;;"
"J318a","J318",,6,6,"melliodora","Eucalyptus melliodora","2015-10-11",,-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,,"loam","W","J.Janes","Common","Present","Present",,"J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;"
"J318b","J318",,6,6,"melliodora","Eucalyptus melliodora","2015-10-11",,-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,,"loam","W","J.Janes","Common","Present","Present",,"J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;"
"J318c","J318",,6,6,"melliodora","Eucalyptus melliodora","2015-10-11",,-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,,"loam","W","J.Janes","Common","Present","Present",,"J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;"
"J318d","J318",,6,6,"melliodora","Eucalyptus melliodora","2015-10-11",,-31.37365,151.13779,"WGS84","NSW","Chaffey Dam, Tamworth Nundle Rd",532,,"loam","W","J.Janes","Common","Present","Present",,"J318","Eucalyptus camaldulensis;Geranium sp;Whalenbergia stricta;Acaena sp;Plantago sp;Asperula sp;;;"
"J319a","J319",,6,7,"melliodora","Eucalyptus melliodora","2015-10-11",,-31.55948,151.05664,"WGS84","NSW","Nundle, Crawney Rd",751,,"sand","NNE","J.Janes","Common","Present","Present","Present","J319","Eucalyptus camaldulensis;grasses;;;;;;;"
"J319b","J319",,6,7,"melliodora","Eucalyptus melliodora","2015-10-11",,-31.55948,151.05664,"WGS84","NSW","Nundle, Crawney Rd",751,,"sand","NNE","J.Janes","Common","Present","Present","Present","J319","Eucalyptus camaldulensis;grasses;;;;;;;"
"J319c","J319",,6,7,"melliodora","Eucalyptus melliodora","2015-10-11",,-31.55948,151.05664,"WGS84","NSW","Nundle, Crawney Rd",751,,"sand","NNE","J.Janes","Common","Present","Present","Present","J319","Eucalyptus camaldulensis;grasses;;;;;;;"
"J319d","J319",,6,7,"melliodora","Eucalyptus melliodora","2015-10-11",,-31.55948,151.05664,"WGS84","NSW","Nundle, Crawney Rd",751,,"sand","NNE","J.Janes","Common","Present","Present","Present","J319","Eucalyptus camaldulensis;grasses;;;;;;;"
