libname	sid	pair	lane	runname	path
J401a	S278	R1	L004	plate1-6.0	reads/plate1-6.0/J401a_S278_L004_R1.fastq.gz
J401a	S278	R2	L004	plate1-6.0	reads/plate1-6.0/J401a_S278_L004_R2.fastq.gz
J376b	S273	R2	L001	plate1-6.0	reads/plate1-6.0/J376b_S273_L001_R2.fastq.gz
J376b	S273	R1	L002	plate1-6.0	reads/plate1-6.0/J376b_S273_L002_R1.fastq.gz
J376b	S273	R1	L001	plate1-6.0	reads/plate1-6.0/J376b_S273_L001_R1.fastq.gz
J376b	S273	R1	L003	plate1-6.0	reads/plate1-6.0/J376b_S273_L003_R1.fastq.gz
J376b	S273	R2	L002	plate1-6.0	reads/plate1-6.0/J376b_S273_L002_R2.fastq.gz
J376b	S273	R2	L004	plate1-6.0	reads/plate1-6.0/J376b_S273_L004_R2.fastq.gz
J376b	S273	R2	L003	plate1-6.0	reads/plate1-6.0/J376b_S273_L003_R2.fastq.gz
J376b	S273	R1	L004	plate1-6.0	reads/plate1-6.0/J376b_S273_L004_R1.fastq.gz
J426h	S479	R1	L003	plate1-6.0	reads/plate1-6.0/J426h_S479_L003_R1.fastq.gz
J426h	S479	R2	L002	plate1-6.0	reads/plate1-6.0/J426h_S479_L002_R2.fastq.gz
J426h	S479	R2	L003	plate1-6.0	reads/plate1-6.0/J426h_S479_L003_R2.fastq.gz
J426h	S479	R1	L004	plate1-6.0	reads/plate1-6.0/J426h_S479_L004_R1.fastq.gz
J426h	S479	R1	L001	plate1-6.0	reads/plate1-6.0/J426h_S479_L001_R1.fastq.gz
J426h	S479	R1	L002	plate1-6.0	reads/plate1-6.0/J426h_S479_L002_R1.fastq.gz
J426h	S479	R2	L004	plate1-6.0	reads/plate1-6.0/J426h_S479_L004_R2.fastq.gz
J426h	S479	R2	L001	plate1-6.0	reads/plate1-6.0/J426h_S479_L001_R2.fastq.gz
Blank_11	S1	R1	L002	plate1-6.0	reads/plate1-6.0/Blank_11_S1_L002_R1.fastq.gz
Blank_11	S1	R2	L002	plate1-6.0	reads/plate1-6.0/Blank_11_S1_L002_R2.fastq.gz
Blank_11	S1	R1	L001	plate1-6.0	reads/plate1-6.0/Blank_11_S1_L001_R1.fastq.gz
Blank_11	S1	R2	L004	plate1-6.0	reads/plate1-6.0/Blank_11_S1_L004_R2.fastq.gz
Blank_11	S1	R1	L004	plate1-6.0	reads/plate1-6.0/Blank_11_S1_L004_R1.fastq.gz
Blank_11	S1	R2	L003	plate1-6.0	reads/plate1-6.0/Blank_11_S1_L003_R2.fastq.gz
Blank_11	S1	R2	L001	plate1-6.0	reads/plate1-6.0/Blank_11_S1_L001_R2.fastq.gz
Blank_11	S1	R1	L003	plate1-6.0	reads/plate1-6.0/Blank_11_S1_L003_R1.fastq.gz
J351_plus	S25	R2	L001	plate1-6.0	reads/plate1-6.0/J351_plus_S25_L001_R2.fastq.gz
J351_plus	S25	R1	L004	plate1-6.0	reads/plate1-6.0/J351_plus_S25_L004_R1.fastq.gz
J351_plus	S25	R2	L002	plate1-6.0	reads/plate1-6.0/J351_plus_S25_L002_R2.fastq.gz
J351_plus	S25	R1	L003	plate1-6.0	reads/plate1-6.0/J351_plus_S25_L003_R1.fastq.gz
J351_plus	S25	R2	L004	plate1-6.0	reads/plate1-6.0/J351_plus_S25_L004_R2.fastq.gz
J351_plus	S25	R2	L003	plate1-6.0	reads/plate1-6.0/J351_plus_S25_L003_R2.fastq.gz
J351_plus	S25	R1	L001	plate1-6.0	reads/plate1-6.0/J351_plus_S25_L001_R1.fastq.gz
J351_plus	S25	R1	L002	plate1-6.0	reads/plate1-6.0/J351_plus_S25_L002_R1.fastq.gz
J352	S30	R2	L003	plate1-6.0	reads/plate1-6.0/J352_S30_L003_R2.fastq.gz
J352	S30	R2	L002	plate1-6.0	reads/plate1-6.0/J352_S30_L002_R2.fastq.gz
J352	S30	R1	L001	plate1-6.0	reads/plate1-6.0/J352_S30_L001_R1.fastq.gz
J352	S30	R2	L004	plate1-6.0	reads/plate1-6.0/J352_S30_L004_R2.fastq.gz
J352	S30	R2	L001	plate1-6.0	reads/plate1-6.0/J352_S30_L001_R2.fastq.gz
J352	S30	R1	L003	plate1-6.0	reads/plate1-6.0/J352_S30_L003_R1.fastq.gz
J352	S30	R1	L004	plate1-6.0	reads/plate1-6.0/J352_S30_L004_R1.fastq.gz
J352	S30	R1	L002	plate1-6.0	reads/plate1-6.0/J352_S30_L002_R1.fastq.gz
J424g	S500	R1	L001	plate1-6.0	reads/plate1-6.0/J424g_S500_L001_R1.fastq.gz
J424g	S500	R1	L004	plate1-6.0	reads/plate1-6.0/J424g_S500_L004_R1.fastq.gz
J424g	S500	R2	L001	plate1-6.0	reads/plate1-6.0/J424g_S500_L001_R2.fastq.gz
J424g	S500	R2	L003	plate1-6.0	reads/plate1-6.0/J424g_S500_L003_R2.fastq.gz
J424g	S500	R1	L003	plate1-6.0	reads/plate1-6.0/J424g_S500_L003_R1.fastq.gz
J424g	S500	R1	L002	plate1-6.0	reads/plate1-6.0/J424g_S500_L002_R1.fastq.gz
