filename	reads	bases	perc_gc	non_acgt
reads/plate1-6.0/J301_S3_L002_R2.fastq.gz	23388	1750933	39.4	47
reads/plate1-6.0/J301_S3_L003_R2.fastq.gz	23053	1726307	39.4	57
reads/plate1-6.0/J301_S3_L003_R1.fastq.gz	23053	1725717	39.4	70
reads/plate1-6.0/J301_S3_L004_R1.fastq.gz	24672	1848067	39.4	24
reads/plate1-6.0/J302_S219_L003_R2.fastq.gz	45658	3438258	40.0	367
reads/plate1-6.0/J301_S3_L004_R2.fastq.gz	24672	1848871	39.4	51
reads/plate1-6.0/J302_S219_L003_R1.fastq.gz	45658	3438295	39.9	319
reads/plate1-6.0/J302_S219_L001_R1.fastq.gz	42071	3166964	39.8	310
reads/plate1-6.0/J303_S204_L003_R1.fastq.gz	18935	1424776	39.2	101
reads/plate1-6.0/J303_S204_L002_R1.fastq.gz	22021	1659002	39.0	30
reads/plate1-6.0/J302_S219_L002_R1.fastq.gz	47070	3543893	39.8	224
reads/plate1-6.0/J302_S219_L001_R2.fastq.gz	42071	3165884	40.0	373
reads/plate1-6.0/J303_S204_L001_R1.fastq.gz	22075	1661648	39.2	73
reads/plate1-6.0/J302_S219_L004_R1.fastq.gz	48614	3662978	39.8	273
reads/plate1-6.0/J303_S204_L002_R2.fastq.gz	22021	1657779	38.7	53
reads/plate1-6.0/J303_S204_L001_R2.fastq.gz	22075	1659741	38.6	84
reads/plate1-6.0/J302_S219_L002_R2.fastq.gz	47070	3544288	39.9	215
reads/plate1-6.0/J303_S204_L004_R1.fastq.gz	15642	1178549	39.0	2
reads/plate1-6.0/J303_S204_L004_R2.fastq.gz	15642	1177804	38.3	3
reads/plate1-6.0/J294_S225_L002_R2.fastq.gz	40914	3076968	40.5	132
reads/plate1-6.0/J302_S219_L004_R2.fastq.gz	48614	3663313	39.8	311
reads/plate1-6.0/J303_S204_L003_R2.fastq.gz	18935	1423669	38.7	155
reads/plate1-6.0/J303_S74_L001_R1.fastq.gz	26251	1972022	39.5	60
reads/plate1-6.0/J295_S202_L002_R1.fastq.gz	57565	4325017	40.0	360
reads/plate1-6.0/J303_S74_L002_R1.fastq.gz	29069	2183747	39.6	58
reads/plate1-6.0/J303_S74_L003_R2.fastq.gz	28167	2116722	39.6	141
reads/plate1-6.0/J303_S74_L003_R1.fastq.gz	28167	2116756	39.5	78
reads/plate1-6.0/J303_S74_L001_R2.fastq.gz	26251	1971301	39.4	99
reads/plate1-6.0/J303_S74_L002_R2.fastq.gz	29069	2183637	39.5	48
reads/plate1-6.0/J303_S74_L004_R2.fastq.gz	30235	2273110	39.5	52
reads/plate1-6.0/J304_S181_L001_R2.fastq.gz	41749	3137434	40.1	330
reads/plate1-6.0/J303_S74_L004_R1.fastq.gz	30235	2272785	39.6	83
reads/plate1-6.0/J304_S181_L001_R1.fastq.gz	41749	3139015	40.0	234
reads/plate1-6.0/J307_S10_L001_R2.fastq.gz	18411	1378168	39.9	50
