"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"J363","plate1-6.0","plate1-6.0~J363","J363",,,,,"Y"
"J363_plus","plate1-6.0","plate1-6.0~J363_plus","J363",,,,,"Y"
"J364","plate1-6.0","plate1-6.0~J364","J364",,,,,"Y"
"J365","plate1-6.0","plate1-6.0~J365","J365",,,,,"Y"
"J366","plate1-6.0","plate1-6.0~J366","J366",,,,,"Y"
"J366_plus","plate1-6.0","plate1-6.0~J366_plus","J366",,,,,"Y"
"J367","plate1-6.0","plate1-6.0~J367","J367",,"Y",,,"Y"
"J367a","plate1-6.0","plate1-6.0~J367a","J367a",,"Y",,,
"J367b","plate1-6.0","plate1-6.0~J367b","J367b",,"Y",,,
"J367c","plate1-6.0","plate1-6.0~J367c","J367c",,"Y",,,
"J367d","plate1-6.0","plate1-6.0~J367d","J367d",,"Y",,,
"J367e","plate1-6.0","plate1-6.0~J367e","J367e",,"Y",,,
"J367f","plate1-6.0","plate1-6.0~J367f","J367f",,"Y",,,
"J367g","plate1-6.0","plate1-6.0~J367g","J367g",,"Y",,,
"J367h","plate1-6.0","plate1-6.0~J367h","J367h",,"Y",,,
"J367i","plate1-6.0","plate1-6.0~J367i","J367i",,,,,"Y"
"J368","plate1-6.0","plate1-6.0~J368","J368",,,,,"Y"
"J369","plate1-6.0","plate1-6.0~J369","J369",,,,,"Y"
"J370","plate1-6.0","plate1-6.0~J370","J370",,,,,"Y"
"J371","plate1-6.0","plate1-6.0~J371","J371",,,,,"Y"
"J372","plate1-6.0","plate1-6.0~J372","J372",,,,,"Y"
"J373","plate1-6.0","plate1-6.0~J373","J373",,,,,"Y"
"J374","plate1-6.0","plate1-6.0~J374","J374",,"Y",,,"Y"
"J374a","plate1-6.0","plate1-6.0~J374a","J374a",,"Y",,,
"J374b","plate1-6.0","plate1-6.0~J374b","J374b",,"Y",,,
"J374c","plate1-6.0","plate1-6.0~J374c","J374c",,"Y",,,
"J374d","plate1-6.0","plate1-6.0~J374d","J374d",,"Y",,,
"J374e","plate1-6.0","plate1-6.0~J374e","J374e",,"Y",,,
"J374f","plate1-6.0","plate1-6.0~J374f","J374f",,"Y",,,
"J374g","plate1-6.0","plate1-6.0~J374g","J374g",,"Y",,,
"J374h","plate1-6.0","plate1-6.0~J374h","J374h",,"Y",,,
"J374i","plate1-6.0","plate1-6.0~J374i","J374i",,"Y",,,
"J375","plate1-6.0","plate1-6.0~J375","J375",,,,,"Y"
"J375-rep1","plate1-6.0","plate1-6.0~J375-rep1","J375",,,,,"Y"
"J376","plate1-6.0","plate1-6.0~J376","J376",,"Y",,,"Y"
"J376a","plate1-6.0","plate1-6.0~J376a","J376a",,"Y",,,
"J376a-rep","plate1-6.0","plate1-6.0~J376a-rep","J376a",,"Y",,,
"J376b","plate1-6.0","plate1-6.0~J376b","J376b",,"Y",,,
"J376c","plate1-6.0","plate1-6.0~J376c","J376c",,"Y",,,
"J376d","plate1-6.0","plate1-6.0~J376d","J376d",,"Y",,,
"J376e","plate1-6.0","plate1-6.0~J376e","J376e",,"Y",,,
"J376f","plate1-6.0","plate1-6.0~J376f","J376f",,"Y",,,
"J376g","plate1-6.0","plate1-6.0~J376g","J376g",,"Y",,,
"J376h","plate1-6.0","plate1-6.0~J376h","J376h",,"Y",,,
"J376i","plate1-6.0","plate1-6.0~J376i","J376i",,"Y",,,
"J377","plate1-6.0","plate1-6.0~J377","J377",,"Y",,,
"J377a","plate1-6.0","plate1-6.0~J377a","J377a",,"Y",,,
"J377b","plate1-6.0","plate1-6.0~J377b","J377b",,"Y",,,
"J377c","plate1-6.0","plate1-6.0~J377c","J377c",,"Y",,,
"J377d","plate1-6.0","plate1-6.0~J377d","J377d",,"Y",,,
"J377e","plate1-6.0","plate1-6.0~J377e","J377e",,"Y",,,
"J377e-rep","plate1-6.0","plate1-6.0~J377e-rep","J377e",,"Y",,,
"J377g","plate1-6.0","plate1-6.0~J377g","J377g",,"Y",,,
"J377h","plate1-6.0","plate1-6.0~J377h","J377h",,"Y",,,
"J377i","plate1-6.0","plate1-6.0~J377i","J377i",,"Y",,,
"J379","plate1-6.0","plate1-6.0~J379","J379",,,,,"Y"
"J381","plate1-6.0","plate1-6.0~J381","J381",,,,,"Y"
"J382a","plate1-6.0","plate1-6.0~J382a","J382a",,"Y",,,
"J382b","plate1-6.0","plate1-6.0~J382b","J382b",,"Y",,,
"J382c","plate1-6.0","plate1-6.0~J382c","J382c",,"Y",,,
"J382d","plate1-6.0","plate1-6.0~J382d","J382d",,"Y",,,
"J382e","plate1-6.0","plate1-6.0~J382e","J382e",,"Y",,,
"J382f","plate1-6.0","plate1-6.0~J382f","J382f",,"Y",,,
"J382g","plate1-6.0","plate1-6.0~J382g","J382g",,"Y",,,
"J382h","plate1-6.0","plate1-6.0~J382h","J382h",,"Y",,,
"J382i","plate1-6.0","plate1-6.0~J382i","J382i",,"Y",,,
"J383","plate1-6.0","plate1-6.0~J383","J383",,,,,"Y"
"J385","plate1-6.0","plate1-6.0~J385","J385",,"Y",,,"Y"
"J385-rep","plate1-6.0","plate1-6.0~J385-rep","J385",,"Y",,,"Y"
"J385a","plate1-6.0","plate1-6.0~J385a","J385a",,"Y",,,
"J385b","plate1-6.0","plate1-6.0~J385b","J385b",,"Y",,,
"J385c","plate1-6.0","plate1-6.0~J385c","J385c",,"Y",,,
"J385d","plate1-6.0","plate1-6.0~J385d","J385d",,"Y",,,
"J385e","plate1-6.0","plate1-6.0~J385e","J385e",,"Y",,,
"J385f","plate1-6.0","plate1-6.0~J385f","J385f",,"Y",,,
"J385g","plate1-6.0","plate1-6.0~J385g","J385g",,"Y",,,
"J385h","plate1-6.0","plate1-6.0~J385h","J385h",,"Y",,,
"J385i","plate1-6.0","plate1-6.0~J385i","J385i",,"Y",,,
"J386","plate1-6.0","plate1-6.0~J386","J386",,"Y",,,
"J386a","plate1-6.0","plate1-6.0~J386a","J386a",,"Y",,,
"J386b","plate1-6.0","plate1-6.0~J386b","J386b",,"Y",,,
"J386c","plate1-6.0","plate1-6.0~J386c","J386c",,"Y",,,
"J386d","plate1-6.0","plate1-6.0~J386d","J386d",,"Y",,,
"J386e","plate1-6.0","plate1-6.0~J386e","J386e",,"Y",,,
"J386f","plate1-6.0","plate1-6.0~J386f","J386f",,"Y",,,
"J386g","plate1-6.0","plate1-6.0~J386g","J386g",,"Y",,,
"J386h","plate1-6.0","plate1-6.0~J386h","J386h",,"Y",,,
"J386i","plate1-6.0","plate1-6.0~J386i","J386i",,"Y",,,
"J387","plate1-6.0","plate1-6.0~J387","J387",,"Y",,,"Y"
"J387a","plate1-6.0","plate1-6.0~J387a","J387a",,"Y",,,
"J387b","plate1-6.0","plate1-6.0~J387b","J387b",,"Y",,,
"J387c","plate1-6.0","plate1-6.0~J387c","J387c",,"Y",,,
"J387d","plate1-6.0","plate1-6.0~J387d","J387d",,"Y",,,
"J387e","plate1-6.0","plate1-6.0~J387e","J387e",,"Y",,,
"J387f","plate1-6.0","plate1-6.0~J387f","J387f",,"Y",,,
"J387g","plate1-6.0","plate1-6.0~J387g","J387g",,"Y",,,
"J387h","plate1-6.0","plate1-6.0~J387h","J387h",,"Y",,,
"J387i","plate1-6.0","plate1-6.0~J387i","J387i",,"Y",,,
"J388","plate1-6.0","plate1-6.0~J388","J388",,"Y",,,
"J388a","plate1-6.0","plate1-6.0~J388a","J388a",,"Y",,,
"J388b","plate1-6.0","plate1-6.0~J388b","J388b",,"Y",,,
"J388c","plate1-6.0","plate1-6.0~J388c","J388c",,"Y",,,
"J388d","plate1-6.0","plate1-6.0~J388d","J388d",,"Y",,,
"J388e","plate1-6.0","plate1-6.0~J388e","J388e",,"Y",,,
"J388f","plate1-6.0","plate1-6.0~J388f","J388f",,"Y",,,
"J388g","plate1-6.0","plate1-6.0~J388g","J388g",,"Y",,,
"J388h","plate1-6.0","plate1-6.0~J388h","J388h",,"Y",,,
"J388i","plate1-6.0","plate1-6.0~J388i","J388i",,"Y",,,
"J389","plate1-6.0","plate1-6.0~J389","J389",,,,,"Y"
"J390","plate1-6.0","plate1-6.0~J390","J390",,"Y",,,
"J390a","plate1-6.0","plate1-6.0~J390a","J390a",,"Y",,,
"J390a-rep","plate1-6.0","plate1-6.0~J390a-rep","J390a",,"Y",,,
"J390b","plate1-6.0","plate1-6.0~J390b","J390b",,"Y",,,
"J392","plate1-6.0","plate1-6.0~J392","J392",,,,,"Y"
"J393","plate1-6.0","plate1-6.0~J393","J393",,,,,"Y"
