"libname","sample"
"J341-NextRAD","J341"
"J340","J340"
"J340-WGS","J340"
"J340-NextRAD","J340"
"J339","J339"
"J339-WGS","J339"
"J339-NextRAD","J339"
"J338","J338"
"J338-WGS","J338"
"J338-NextRAD","J338"
"J335","J335"
"J335-WGS","J335"
"J335-NextRAD","J335"
"J334","J334"
"J334-WGS","J334"
"J334-NextRAD","J334"
"J333a","J333a"
"J333","J333"
"J333-plus-WGS","J333"
"J333-WGS","J333"
"J333-plus-NextRAD","J333"
"J333-NextRAD","J333"
"J333_plus","J333"
"J331","J331"
"J331-WGS","J331"
"J331-NextRAD","J331"
"J330","J330"
"J330-WGS","J330"
"J330-NextRAD","J330"
"J329","J329"
"J329-WGS","J329"
"J329-NextRAD","J329"
"J328","J328"
"J328-WGS","J328"
"J328-NextRAD","J328"
"J327","J327"
"J327-WGS","J327"
"J327-NextRAD","J327"
"J326","J326"
"J326-WGS","J326"
"J326-NextRAD","J326"
"J324","J324"
"J324-WGS","J324"
"J324-NextRAD","J324"
"J322","J322"
"J322-WGS","J322"
"J322-NextRAD","J322"
"J321g","J321g"
"J321g-WGS","J321g"
"J321g-NextRAD","J321g"
"J320","J320"
"J320-WGS","J320"
"J320-NextRAD","J320"
"J319","J319"
"J319-WGS","J319"
"J319-NextRAD","J319"
"J318","J318"
"J318-WGS","J318"
"J318-NextRAD","J318"
"J317","J317"
"J317-WGS","J317"
"J317-NextRAD","J317"
"J316","J316"
"J316-WGS","J316"
"J316-NextRAD","J316"
"J315","J315"
"J315-WGS","J315"
"J315-NextRAD","J315"
"J312","J312"
"J311","J311"
"J311-WGS","J311"
"J311-NextRAD","J311"
"J310","J310"
"J310-WGS","J310"
"J310-NextRAD","J310"
"J307","J307"
"J307-WGS","J307"
"J307-NextRAD","J307"
"J304","J304"
"J303","J303"
"J303-WGS","J303"
"J303-NextRAD","J303"
"J302","J302"
"J301","J301"
"J301-WGS","J301"
"J301-NextRAD","J301"
"J300","J300"
"J298","J298"
"J298-WGS","J298"
"J298-NextRAD","J298"
"J296","J296"
"J296-WGS","J296"
"J296-NextRAD","J296"
"J295-rep","J295"
"J295","J295"
"J295rep","J295"
"J294","J294"
"J294-WGS","J294"
"J294-NextRAD","J294"
"J293","J293"
"GH2","GH2"
"GH1","GH1"
"FDK10","FDK10"
"FDK10-WGS","FDK10"
"FDK10-NextRAD","FDK10"
"ENE0001","ENE0001"
"ENE0005","ENE0005"
"ENE0008","ENE0008"
"ENE0009","ENE0009"
"ENE0010","ENE0010"
"ENE0011","ENE0011"
"ENE0014","ENE0014"
