"library","run","Include","seq.notes"
"J349g","plate1-6.2","Y",
"J349h","plate1-6.0","Y",
"J349h","plate1-6.1","Y",
"J349h","plate1-6.2","Y",
"J349i","plate1-6.0","Y",
"J349i","plate1-6.1","Y",
"J349i","plate1-6.2","Y",
"J349j","plate1-6.0","Y",
"J349j","plate1-6.1","Y",
"J349j","plate1-6.2","Y",
"J350","plate1-6.0","Y",
"J350","plate1-6.1","Y",
"J350","plate1-6.2","Y",
"J350-NextRAD","plate1.1","Y",
"J350-WGS","plate1.1","Y",
"J350-WGS","plate1.2","Y",
"J350a","plate1-6.0","Y",
"J350a","plate1-6.1","Y",
"J350a","plate1-6.2","Y",
"J350b","plate1-6.0","Y",
"J350b","plate1-6.1","Y",
"J350b","plate1-6.2","Y",
"J350c","plate1-6.0","Y",
"J350c","plate1-6.1","Y",
"J350c","plate1-6.2","Y",
"J350d","plate1-6.0","Y",
"J350d","plate1-6.1","Y",
"J350d","plate1-6.2","Y",
"J350e","plate1-6.0","Y",
"J350e","plate1-6.1","Y",
"J350e","plate1-6.2","Y",
"J350f","plate1-6.0","Y",
"J350f","plate1-6.1","Y",
"J350f","plate1-6.2","Y",
"J350g","plate1-6.0","Y",
"J350g","plate1-6.1","Y",
"J350g","plate1-6.2","Y",
"J350h","plate1-6.0","Y",
"J350h","plate1-6.1","Y",
"J350h","plate1-6.2","Y",
"J350i","plate1-6.0","Y",
"J350i","plate1-6.1","Y",
"J350i","plate1-6.2","Y",
"J351","plate1-6.0","Y",
"J351","plate1-6.1","Y",
"J351","plate1-6.2","Y",
"J351_plus","plate1-6.0","Y",
"J351_plus","plate1-6.1","Y",
"J351_plus","plate1-6.2","Y",
"J351-NextRAD","plate1.1","Y",
"J351-plus-NextRAD","plate1.1","Y",
"J351-plus-WGS","plate1.1","Y",
"J351-plus-WGS","plate1.2","Y",
"J351-WGS","plate1.1","Y",
"J351-WGS","plate1.2","Y",
"J352","plate1-6.0","Y",
"J352","plate1-6.1","Y",
"J352","plate1-6.2","Y",
"J352-NextRAD","plate1.1","Y",
"J352-WGS","plate1.1","Y",
"J352-WGS","plate1.2","Y",
"J352a","plate1-6.0","Y",
"J352a","plate1-6.1","Y",
"J352a","plate1-6.2","Y",
"J352b","plate1-6.0","Y",
"J352b","plate1-6.1","Y",
"J352b","plate1-6.2","Y",
"J352c","plate1-6.0","Y",
"J352c","plate1-6.1","Y",
"J352c","plate1-6.2","Y",
"J352d","plate1-6.0","Y",
"J352d","plate1-6.1","Y",
"J352d","plate1-6.2","Y",
"J352e","plate1-6.0","Y",
"J352e","plate1-6.1","Y",
"J352e","plate1-6.2","Y",
"J352f","plate1-6.0","Y",
"J352f","plate1-6.1","Y",
"J352f","plate1-6.2","Y",
"J352g","plate1-6.0","Y",
"J352g","plate1-6.1","Y",
"J352g","plate1-6.2","Y",
"J352h","plate1-6.0","Y",
"J352h","plate1-6.1","Y",
"J352h","plate1-6.2","Y",
"J352i","plate1-6.0","Y",
"J352i","plate1-6.1","Y",
"J352i","plate1-6.2","Y",
"J353","plate1-6.0","Y",
"J353","plate1-6.1","Y",
"J353","plate1-6.2","Y",
"J353-NextRAD","plate1.1","Y",
"J353-WGS","plate1.1","Y",
"J353-WGS","plate1.2","Y",
"J354","plate1-6.0","Y",
"J354","plate1-6.1","Y",
"J354","plate1-6.2","Y",
"J354-NextRAD","plate1.1","Y",
"J354-WGS","plate1.1","Y",
"J354-WGS","plate1.2","Y",
"J355","plate1-6.0","Y",
"J355","plate1-6.1","Y",
"J355","plate1-6.2","Y",
"J355-NextRAD","plate1.1","Y",
"J355-WGS","plate1.1","Y",
"J355-WGS","plate1.2","Y",
"J355a","plate1-6.0","Y",
"J355a","plate1-6.1","Y",
"J355a","plate1-6.2","Y",
