filename	reads	bases	perc_gc	non_acgt
data/reads/qc/J350f.fastq.gz	11304780	1656592111	40.2	11977
data/reads/qc/J350c.fastq.gz	12105292	1786500031	40.2	8844
data/reads/qc/J345.fastq.gz	33205174	4903731215	40.2	28195
data/reads/qc/J350d.fastq.gz	14031066	2073210062	40.8	8696
data/reads/qc/J352h.fastq.gz	200162	29020595	40.5	335
data/reads/qc/J350b.fastq.gz	15174084	2238128102	41.0	10472
data/reads/qc/J352f.fastq.gz	3656326	523747876	41.8	3355
data/reads/qc/J350g.fastq.gz	13872822	2030918875	39.9	12197
data/reads/qc/J352c.fastq.gz	7684476	1133448685	40.7	4339
data/reads/qc/J350i.fastq.gz	14816332	2187882797	41.1	9327
data/reads/qc/J350h.fastq.gz	14848770	2190848587	40.6	11202
data/reads/qc/J355c.fastq.gz	341924	49636899	40.6	724
data/reads/qc/J350.fastq.gz	20698820	3041533855	39.4	15932
data/reads/qc/J351.fastq.gz	15177556	2250037534	39.9	12024
data/reads/qc/J352a.fastq.gz	13980870	2057272621	40.2	14052
data/reads/qc/J353.fastq.gz	8670132	1275687292	39.6	4992
data/reads/qc/J352e.fastq.gz	12095436	1780956461	40.8	10901
data/reads/qc/J352d.fastq.gz	14384224	2124191680	40.9	8942
data/reads/qc/J352b.fastq.gz	15307916	2247913451	40.4	14796
data/reads/qc/J355b.fastq.gz	9908952	1465408736	39.5	5301
data/reads/qc/J355d.fastq.gz	9537790	1402780223	40.4	4310
data/reads/qc/J351_plus.fastq.gz	20103216	2983127652	40.2	16911
data/reads/qc/J352i.fastq.gz	14856598	2186181634	40.8	13814
data/reads/qc/J352g.fastq.gz	16336004	2399703976	41.1	13690
data/reads/qc/J355a.fastq.gz	12984920	1917051025	41.7	12198
data/reads/qc/J355e.fastq.gz	10936188	1601894723	40.4	10445
data/reads/qc/J355g.fastq.gz	10897784	1594752535	39.7	11117
data/reads/qc/J355f.fastq.gz	12994294	1919627167	40.6	11773
data/reads/qc/J354.fastq.gz	19947898	2956291504	40.1	17430
data/reads/qc/J358.fastq.gz	13786026	2042831137	39.7	7969
data/reads/qc/J357.fastq.gz	15417604	2286502482	39.7	13297
data/reads/qc/J359h.fastq.gz	7826108	1149373604	40.3	3865
data/reads/qc/J352.fastq.gz	29855082	4404243514	40.0	25055
data/reads/qc/J359b.fastq.gz	11448392	1678927690	40.1	11720
data/reads/qc/J359e.fastq.gz	11096786	1630696165	40.4	6576
data/reads/qc/J359a.fastq.gz	13876738	2041905478	40.7	13040
data/reads/qc/J359g.fastq.gz	12922492	1905035006	40.5	9660
data/reads/qc/J360.fastq.gz	10992324	1627730080	39.0	5695
data/reads/qc/J355.fastq.gz	28137226	4159566469	40.4	21945
data/reads/qc/J361a.fastq.gz	8437262	1233427340	40.0	3778
data/reads/qc/J359d.fastq.gz	16591942	2440126011	41.2	15867
data/reads/qc/J359i.fastq.gz	15533136	2258595743	41.1	13248
data/reads/qc/J359c.fastq.gz	19037854	2787900493	41.3	12868
data/reads/qc/J361b.fastq.gz	12060920	1769562019	39.7	11196
data/reads/qc/J361d.fastq.gz	11780098	1730028676	40.8	6370
data/reads/qc/J361g.fastq.gz	12083360	1783194088	40.9	10998
data/reads/qc/J361c.fastq.gz	14456212	2124831432	39.9	15078
data/reads/qc/J361f.fastq.gz	13378506	1977916395	41.0	8442
data/reads/qc/J359.fastq.gz	28763544	4238265584	40.2	26682
data/reads/qc/J361e.fastq.gz	13537832	1994266435	40.8	8639
data/reads/qc/J362.fastq.gz	10601930	1550228764	40.6	10167
data/reads/qc/J362_young.fastq.gz	13835696	2046245995	39.9	12771
data/reads/qc/J361h.fastq.gz	16724788	2439310040	41.7	13945
data/reads/qc/J362a.fastq.gz	14665010	2162252853	40.2	12995
data/reads/qc/J361i.fastq.gz	18309092	2678073801	41.1	14407
data/reads/qc/J362b.fastq.gz	14508994	2139183314	41.0	10589
data/reads/qc/J367a.fastq.gz	9985724	1479213535	40.5	4661
data/reads/qc/J365.fastq.gz	13843796	2047964567	39.6	7292
data/reads/qc/J366_plus.fastq.gz	11471646	1699305969	39.9	4651
data/reads/qc/J363_plus.fastq.gz	15960450	2362604630	40.2	15008
data/reads/qc/J367c.fastq.gz	10493822	1553051089	40.5	10681
