filename	unique_kmers	kmersize
data/reads/qc/J385-rep.fastq.gz	1200344362	31
data/reads/qc/J433h.fastq.gz	450046474	31
data/reads/qc/J416g.fastq.gz	564273284	31
data/reads/qc/J386a.fastq.gz	651670047	31
data/reads/qc/J418c.fastq.gz	532456564	31
data/reads/qc/J383.fastq.gz	491098550	31
data/reads/qc/J392.fastq.gz	398607361	31
data/reads/qc/J320.fastq.gz	531104037	31
data/reads/qc/J386e.fastq.gz	345038908	31
data/reads/qc/J385.fastq.gz	891191558	31
data/reads/qc/M2a.fastq.gz	119734853	31
data/reads/qc/J359.fastq.gz	939847217	31
data/reads/qc/J422e-rep.fastq.gz	676044817	31
data/reads/qc/J365.fastq.gz	605391084	31
data/reads/qc/J425c.fastq.gz	659401100	31
data/reads/qc/J405i.fastq.gz	608048024	31
data/reads/qc/blank_31.fastq.gz	30917246	31
data/reads/qc/J374a.fastq.gz	549264672	31
data/reads/qc/J361e.fastq.gz	598731198	31
data/reads/qc/J386i.fastq.gz	407657196	31
data/reads/qc/J388g.fastq.gz	536172524	31
data/reads/qc/J361.fastq.gz	975966476	31
data/reads/qc/J385h.fastq.gz	615149552	31
data/reads/qc/J315.fastq.gz	455169153	31
data/reads/qc/J395C.fastq.gz	551164530	31
data/reads/qc/J416a.fastq.gz	641000667	31
data/reads/qc/J426.fastq.gz	503321161	31
data/reads/qc/J376b.fastq.gz	605182894	31
data/reads/qc/J367.fastq.gz	889117576	31
data/reads/qc/J342d.fastq.gz	610157077	31
data/reads/qc/J382c.fastq.gz	591146587	31
data/reads/qc/J326.fastq.gz	763162541	31
data/reads/qc/J401.fastq.gz	471947522	31
data/reads/qc/J382g.fastq.gz	607024479	31
data/reads/qc/J430a.fastq.gz	511174385	31
data/reads/qc/J361f.fastq.gz	594922063	31
data/reads/qc/J295.fastq.gz	571134087	31
data/reads/qc/J433e.fastq.gz	533806199	31
data/reads/qc/J394g.fastq.gz	603098137	31
data/reads/qc/J300.fastq.gz	401590018	31
data/reads/qc/J322.fastq.gz	729377073	31
data/reads/qc/J429c.fastq.gz	416400000	31
data/reads/qc/J394e.fastq.gz	506423816	31
data/reads/qc/J317.fastq.gz	502758775	31
data/reads/qc/J345a.fastq.gz	638619157	31
data/reads/qc/VMA18.fastq.gz	409583338	31
data/reads/qc/J361i.fastq.gz	780381948	31
data/reads/qc/J436g.fastq.gz	487645323	31
data/reads/qc/J307.fastq.gz	467823371	31
data/reads/qc/J428h.fastq.gz	667550816	31
data/reads/qc/J349h.fastq.gz	691295679	31
data/reads/qc/J371.fastq.gz	628771644	31
data/reads/qc/J395E.fastq.gz	548169980	31
data/reads/qc/J395.fastq.gz	793887583	31
data/reads/qc/J405g.fastq.gz	426058216	31
data/reads/qc/J335.fastq.gz	782704701	31
