"","ID","SampleSet","Species","Location","Latitude","Longitude","SeedYesNo","SeedNotes","Sequenced"
"94","TLC813","TLC","magnificata","Long Point",-30.61521498,151.941556,"No","  ",""
"95","TLC814","TLC","magnificata","Long Point",-30.61504701,151.941554,"No","  ",""
"96","TLC815","TLC","magnificata","Long Point",-30.61480796,151.941578,"No","  ",""
"97","TLC816","TLC","magnificata","Long Point",-30.61466102,151.941561,"No","  ",""
"98","TLC817","TLC","magnificata","Long Point",-30.61459397,151.941559,"No","  ",""
"99","TLC818","TLC","magnificata","Long Point",-30.614643,151.94136,"No","  ",""
"100","TLC819","TLC","magnificata","Long Point",-30.61453597,151.941398,"No","  ",""
"101","TLC820","TLC","magnificata","Long Point",-30.61433103,151.941375,"No","  ",""
"102","TLC821","TLC","magnificata","Long Point",-30.61426599,151.941368,"No","  ",""
"103","TLC822","TLC","magnificata","Long Point",-30.61406801,151.941397,"No","  ",""
"104","TLC823","TLC","magnificata","Long Point",-30.61487904,151.941041,"No","  ",""
"105","TLC824","TLC","magnificata","Long Point",-30.61487602,151.940233,"No","  ",""
"106","TLC825","TLC","magnificata","Long Point",-30.61477996,151.940809,"No","  ",""
"107","TLC826","TLC","magnificata","Long Point",-30.61463303,151.941019,"No","  ",""
"108","TLC828","TLC","magnificata","Long Point",-30.61391001,151.941021,"No","  ",""
"109","TLC866","TLC","magnificata","Long Point",-30.61454896,151.941906,"No","  ",""
"110","TLC868","TLC","magnificata","Long Point",-30.61441502,151.942247,"No","  ",""
"111","TLC869","TLC","magnificata","Long Point",-30.61418502,151.942253,"No","  ",""
"112","TLC870","TLC","magnificata","Long Point",-30.61388402,151.942521,"No","  ",""
"113","TLC871","TLC","magnificata","Long Point",-30.61387698,151.942828,"No","  ",""
"114","TLC872","TLC","magnificata","Long Point",-30.61348303,151.942816,"No","  ",""
"115","TLC873","TLC","magnificata","Long Point",-30.61368898,151.942754,"No","  ",""
"116","TLC874","TLC","magnificata","Long Point",-30.61346501,151.942117,"No","  ",""
"117","TLC875","TLC","magnificata","Long Point",-30.61332,151.942271,"No","  ",""
"118","TLC876","TLC","magnificata","Long Point",-30.61312596,151.942215,"No","  ",""
"119","TLC877","TLC","magnificata","Long Point",-30.61318204,151.942496,"No","  ",""
"120","TLC878","TLC","magnificata","Long Point",-30.61316703,151.942752,"No","  ",""
"121","TLC879","TLC","magnificata","Long Point",-30.61361999,151.941874,"No","  ",""
"122","TLC880","TLC","magnificata","Long Point",-30.61321297,151.943026,"No","  ",""
"123","TLC881","TLC","magnificata","Long Point",-30.61311398,151.943455,"No","  ",""
"124","TLC882","TLC","magnificata","Long Point",-30.61302203,151.943931,"No","  ",""
"125","TLC883","TLC","magnificata","Long Point",-30.61249204,151.942647,"No","  ",""
"126","TLC884","TLC","magnificata","Long Point",-30.612427,151.942411,"No","  ",""
"127","TLC885","TLC","magnificata","Long Point",-30.61244904,151.941981,"No","  ",""
"128","TLC886","TLC","magnificata","Long Point",-30.61194998,151.941887,"No","  ",""
"129","TLC887","TLC","magnificata","Long Point",-30.611507,151.942091,"No","  ",""
"130","TLC888","TLC","magnificata","Long Point",-30.61135998,151.942235,"No","  ",""
"131","TLC889","TLC","magnificata","Long Point",-30.61101699,151.941664,"No","  ",""
"132","TLC890","TLC","magnificata","Long Point",-30.61030101,151.942406,"No","  ",""
"133","TLC891","TLC","magnificata","Long Point",-30.60978401,151.942063,"No","  ",""
"134","TLC892","TLC","magnificata","Long Point",-30.60956701,151.942258,"No","  ",""
"135","TLC893","TLC","magnificata","Long Point",-30.604489,151.947207,"No","  ",""
"136","TLC894","TLC","magnificata","Long Point",-30.60436503,151.947299,"No","  ",""
"137","TLC895","TLC","magnificata","Long Point",-30.60432496,151.947418,"No","  ",""
"138","TLC896","TLC","magnificata","Long Point",-30.60276199,151.950684,"No","  ",""
"139","TLC897","TLC","magnificata","Long Point",-30.60251699,151.951738,"No","  ",""
"140","TLC898","TLC","magnificata","Long Point",-30.60267398,151.951678,"No","  ",""
"141","TLC827","TLC","magnificata","Long Point",-30.61447897,151.940761,"Yes","sieved group envelope in box ",""
"142","TLC830","TLC","magnificata","Long Point",-30.61620296,151.938109,"Yes","sieved group envelope in box ",""
"143","TLC831","TLC","magnificata","Long Point",-30.61607497,151.938129,"Yes","sieved group envelope in box ",""
"144","TLC916","TLC","magnificata","McDirtys Lookout",-30.67624203,151.74434,"No","  ",""
"145","TLC917","TLC","magnificata","McDirtys Lookout",-30.67637798,151.744317,"No","  ",""
"146","TLC918","TLC","magnificata","McDirtys Lookout",-30.67576099,151.742332,"No","  ",""
"147","TLC762","TLC","magnificata","Metz Gorge",-30.57475998,151.884212,"No","  ",""
"148","TLC763","TLC","magnificata","Metz Gorge",-30.57457399,151.884747,"No","  ",""
"149","TLC764","TLC","magnificata","Metz Gorge",-30.57433502,151.885239,"No","  ",""
"150","TLC760","TLC","magnificata","Metz Gorge",-30.57490801,151.884066,"Yes","empty envelope  ",""
"151","TLC761","TLC","magnificata","Metz Gorge",-30.57479996,151.884278,"Yes","empty envelope  ",""
"152","TLC939","TLC","magnificata","Salisbury Waters",-30.69581696,151.791648,"No","  ",""
"153","TLC940","TLC","magnificata","Salisbury Waters",-30.69574697,151.791598,"No","  ",""
"154","TLC941","TLC","magnificata","Salisbury Waters",-30.695882,151.791756,"No","  ",""
"155","J391","Jasmine","melliodora","Alexandra",-37.21685,145.73489,"","","No"
"156","J391a","Jasmine","melliodora","Alexandra",-37.21685,145.73489,"","","No"
"157","J391b","Jasmine","melliodora","Alexandra",-37.21685,145.73489,"","","No"
"158","J391c","Jasmine","melliodora","Alexandra",-37.21685,145.73489,"","","No"
"159","J391d","Jasmine","melliodora","Alexandra",-37.21685,145.73489,"","","Yes"
"160","J375","Jasmine","melliodora","Buchan",-37.40165,148.21443,"","","No"
"161","J375a","Jasmine","melliodora","Buchan",-37.40165,148.21443,"","","No"
"162","J375b","Jasmine","melliodora","Buchan",-37.40165,148.21443,"","","No"
"163","J375c","Jasmine","melliodora","Buchan",-37.40165,148.21443,"","","No"
"164","J375d","Jasmine","melliodora","Buchan",-37.40165,148.21443,"","","Yes"
"165","J318","Jasmine","melliodora","Chaffey Dam, Tamworth Nundle Rd",-31.37365,151.13779,"","","No"
"166","J318a","Jasmine","melliodora","Chaffey Dam, Tamworth Nundle Rd",-31.37365,151.13779,"","","No"
"167","J318b","Jasmine","melliodora","Chaffey Dam, Tamworth Nundle Rd",-31.37365,151.13779,"","","No"
"168","J318c","Jasmine","melliodora","Chaffey Dam, Tamworth Nundle Rd",-31.37365,151.13779,"","","No"
"169","J318d","Jasmine","melliodora","Chaffey Dam, Tamworth Nundle Rd",-31.37365,151.13779,"","","No"
"170","J318e","Jasmine","melliodora","Chaffey Dam, Tamworth Nundle Rd",-31.37365,151.13779,"","","Yes"
"171","J357","Jasmine","melliodora","Collendina State Forest, Spring Dr.",-36.019,146.29446,"","","No"
"172","J357a","Jasmine","melliodora","Collendina State Forest, Spring Dr.",-36.019,146.29446,"","","No"
"173","J357b","Jasmine","melliodora","Collendina State Forest, Spring Dr.",-36.019,146.29446,"","","No"
"174","J357c","Jasmine","melliodora","Collendina State Forest, Spring Dr.",-36.019,146.29446,"","","No"
"175","J357d","Jasmine","melliodora","Collendina State Forest, Spring Dr.",-36.019,146.29446,"","","Yes"
"176","J373","Jasmine","melliodora","Doctors Flat",-37.46662,147.83218,"","","No"
"177","J373a","Jasmine","melliodora","Doctors Flat",-37.46662,147.83218,"","","No"
"178","J373b","Jasmine","melliodora","Doctors Flat",-37.46662,147.83218,"","","No"
"179","J373c","Jasmine","melliodora","Doctors Flat",-37.46662,147.83218,"","","No"
"180","J373d","Jasmine","melliodora","Doctors Flat",-37.46662,147.83218,"","","Yes"
"181","J340","Jasmine","melliodora","Emmaville, Strathbogie Rd",-29.45577,151.55405,"","","No"
"182","J340a","Jasmine","melliodora","Emmaville, Strathbogie Rd",-29.45577,151.55405,"","","No"
"183","J340b","Jasmine","melliodora","Emmaville, Strathbogie Rd",-29.45577,151.55405,"","","No"
"184","J340c","Jasmine","melliodora","Emmaville, Strathbogie Rd",-29.45577,151.55405,"","","No"
"185","J340d","Jasmine","melliodora","Emmaville, Strathbogie Rd",-29.45577,151.55405,"","","Yes"
"186","J365","Jasmine","melliodora","Glenwood State Forest, Cargo Rd.",-33.31832,148.97163,"","","No"
"187","J365a","Jasmine","melliodora","Glenwood State Forest, Cargo Rd.",-33.31832,148.97163,"","","No"
"188","J365b","Jasmine","melliodora","Glenwood State Forest, Cargo Rd.",-33.31832,148.97163,"","","No"
"189","J365c","Jasmine","melliodora","Glenwood State Forest, Cargo Rd.",-33.31832,148.97163,"","","No"
"190","J365d","Jasmine","melliodora","Glenwood State Forest, Cargo Rd.",-33.31832,148.97163,"","","Yes"
"191","ENE0002","ENE","melliodora","HRF1",-29.84982,152.00136,"No","",""
"192","ENE0003","ENE","melliodora","HRF1",-29.85045,152.00114,"No","",""
"193","ENE0004","ENE","melliodora","HRF1",-29.85075,152.0011,"No","",""
"194","ENE0012","ENE","melliodora","HRF1",-29.8494,152.0009,"No","",""
"195","ENE0013","ENE","melliodora","HRF1",-29.84933,152.00099,"No","no seeds in the capsule",""
"196","ENE0020","ENE","melliodora","HRF1",-29.849,152.00549,"No","",""
"197","ENE0005","ENE","melliodora","HRF1",-29.85121,152.00075,"Yes","reasonable amount of seeds",""
"198","ENE0014","ENE","melliodora","HRF1",-29.84946,152.00108,"Yes","large quantity of seeds",""
"199","ENE0015","ENE","melliodora","HRF1",-29.84945,152.00114,"Yes","very low amount of seeds",""
"200","J378","Jasmine","melliodora","Kosciousko NP",-36.88718,148.42012,"","","No"
"201","J378a","Jasmine","melliodora","Kosciousko NP",-36.88718,148.42012,"","","No"
"202","J378b","Jasmine","melliodora","Kosciousko NP",-36.88718,148.42012,"","","No"
"203","J378c","Jasmine","melliodora","Kosciousko NP",-36.88718,148.42012,"","","No"
"204","J378d","Jasmine","melliodora","Kosciousko NP",-36.88718,148.42012,"","","Yes"
"205","J346","Jasmine","melliodora","Mullion, Mountain Creek Rd.",-35.06954,148.83661,"","","No"
"206","J346a","Jasmine","melliodora","Mullion, Mountain Creek Rd.",-35.06954,148.83661,"","","No"
"207","J346b","Jasmine","melliodora","Mullion, Mountain Creek Rd.",-35.06954,148.83661,"","","No"
"208","J346c","Jasmine","melliodora","Mullion, Mountain Creek Rd.",-35.06954,148.83661,"","","No"
"209","J346d","Jasmine","melliodora","Mullion, Mountain Creek Rd.",-35.06954,148.83661,"","","Yes"
"210","J296","Jasmine","melliodora","Namoi River, Dunmore Rd",-30.65167,150.87812,"","","No"
"211","J297","Jasmine","melliodora","Namoi River, Dunmore Rd",-30.6519,150.87828,"","","Yes"
"212","J319","Jasmine","melliodora","Nundle, Crawney Rd",-31.55948,151.05664,"","","No"
"213","J319a","Jasmine","melliodora","Nundle, Crawney Rd",-31.55948,151.05664,"","","No"
"214","J319b","Jasmine","melliodora","Nundle, Crawney Rd",-31.55948,151.05664,"","","No"
"215","J319c","Jasmine","melliodora","Nundle, Crawney Rd",-31.55948,151.05664,"","","No"
"216","J319d","Jasmine","melliodora","Nundle, Crawney Rd",-31.55948,151.05664,"","","No"
"217","J319e","Jasmine","melliodora","Nundle, Crawney Rd",-31.55948,151.05664,"","","Yes"
"218","J358","Jasmine","melliodora","Urana, Walbundrie Rd.",-35.38973,146.35303,"","","No"
"219","J358a","Jasmine","melliodora","Urana, Walbundrie Rd.",-35.38973,146.35303,"","","No"
"220","J358b","Jasmine","melliodora","Urana, Walbundrie Rd.",-35.38973,146.35303,"","","No"
"221","J358c","Jasmine","melliodora","Urana, Walbundrie Rd.",-35.38973,146.35303,"","","No"
"222","J358d","Jasmine","melliodora","Urana, Walbundrie Rd.",-35.38973,146.35303,"","","Yes"
"223","ENE0024","ENE","melliodora","Waterfall Way 2",-30.5176,151.97227,"No","immature capsule to collect seeds",""
"224","ENE0025","ENE","melliodora","Waterfall Way 2",-30.51758,151.97237,"No","",""
"225","ENE0026","ENE","melliodora","Waterfall Way 2",-30.51734,151.97252,"No","",""
"226","ENE0027","ENE","melliodora","Waterfall Way 2",-30.51723,151.97252,"No","",""
