"ID","Species.orig","Latitude","Longitude","Location","Species"
"FDK10","Eucalyptus microcarpa",-36.33119,145.70688,"Dookie (private property)","Eucalyptus microcarpa"
"FDK20","Eucalyptus microcarpa",-36.33002,145.70534,"Dookie (private property)","Eucalyptus microcarpa"
"FHH02","Eucalyptus microcarpa",-36.80271,144.00268,"Marong (private property)","Eucalyptus microcarpa"
"VMA01","Eucalyptus microcarpa",-36.77474,141.81787,"Mt Arapiles State Park","Eucalyptus microcarpa"
"VMA18","Eucalyptus microcarpa",-36.77474,141.82599,"Mt Arapiles State Park","Eucalyptus microcarpa"
"VMA30","Eucalyptus microcarpa",-36.77254,141.82553,"Mt Arapiles State Park","Eucalyptus microcarpa"
"VWG14","Eucalyptus microcarpa",-37.67129,144.36256,"Werribee Gorge State Park","Eucalyptus microcarpa"
"RA1006","Eucalyptus albens",NA,NA,"Bundarra Rd","Eucalyptus albens"
"RA1007","Eucalyptus albens",NA,NA,"Bundarra Rd","Eucalyptus albens"
"J372","Eucalyptus polyanthemos",-37.60536,146.64015,"Licola, Tamboritha Rd","Eucalyptus polyanthemos"
"J373","Eucalyptus melliodora",-37.46662,147.83218,"Doctors Flat","Eucalyptus melliodora"
"J374","Eucalyptus albens",-37.36159,147.85228,"Ensay","Eucalyptus albens"
"J375","Eucalyptus melliodora",-37.40165,148.21443,"Buchan","Eucalyptus melliodora"
"J376","Eucalyptus albens",-37.07782,148.34419,"McKillop Bridge","Eucalyptus albens"
"J377","Eucalyptus albens",-36.96985,148.30525,"Suggan Buggan","Eucalyptus albens"
"J378","Eucalyptus melliodora",-36.88718,148.42012,"Kosciousko NP","Eucalyptus melliodora"
"J379","Eucalyptus polyanthemos (?)",-36.94525,149.4919,"Bombala","Eucalyptus polyanthemos"
"J380","Eucalyptus polyanthemos",-37.11934,149.65784,"Pericoe","Eucalyptus polyanthemos"
"J381","Eucalyptus polyanthemos",-37.3619,149.66098,"Bruthen","Eucalyptus polyanthemos"
"J382","Eucalyptus albens",-37.21575,147.71677,"Swifts Creek","Eucalyptus albens"
"J383","Eucalyptus polyanthemos (?)",-36.31995,146.84286,"Yambuck","Eucalyptus polyanthemos"
"J384","Eucalyptus polyanthemos",-36.16765,146.64908,"Chiltern","Eucalyptus polyanthemos"
"J385","Eucalyptus sideroxylon",-36.17434,146.66263,"Chiltern","Eucalyptus sideroxylon"
"J386","Eucalyptus albens",-36.14425,146.65103,"Chiltern","Eucalyptus albens"
"J387","Eucalyptus sideroxylon",-32.24456,146.18248,"Warrangatta","Eucalyptus sideroxylon"
"J388","Eucalyptus albens",-36.26528,146.15425,"Warrangatta","Eucalyptus albens"
"J389","Eucalyptus polyanthemos",-36.60631,145.92644,"Reef Road State Park","Eucalyptus polyanthemos"
"J390","Eucalyptus albens",-36.5877,145.96066,"Reef Road State Park","Eucalyptus albens"
"J391","Eucalyptus melliodora (?)",-37.21685,145.73489,"Alexandra","Eucalyptus melliodora"
"J392","Eucalyptus tricarpa",-37.00641,145.00121,"Puckapanyl","Eucalyptus tricarpa"
"J393","Eucalyptus albens",-36.93458,144.74492,"Heathcote","Eucalyptus albens"
"J394","Eucalyptus albens (?)",-36.84715,144.52614,"Lake Eppalock","Eucalyptus albens"
