"ID","Species.orig","Latitude","Longitude","Location","Species","state","location","sp.short","species","ser.short","series"
"J427a",NA,NA,NA,NA,NA,"NSW","Bundarra","cal","caleyi","rhodox","rhodoxylon"
"J307","Eucalyptus crebra ?",-30.22665,149.8094,"Narrabri, Newell Hwy","Eucalyptus crebra","NSW","Narrabri","creb","crebra","sider","siderophloiae"
"J316","Eucalyptus crebra",-30.92855,149.36347,"Pilliga, no 1 break rd","Eucalyptus crebra","NSW","Pilliga","creb","crebra","sider","siderophloiae"
"J317","Eucalyptus crebra",-30.14459,150.0534,"Sawn Rocks, parking lot","Eucalyptus crebra","NSW","Sawn Rocks","creb","crebra","sider","siderophloiae"
"J327","Eucalyptus crebra",-28.45172,152.3925,"Koreelah, Tooloom Rd","Eucalyptus crebra","NSW","Koreelah","creb","crebra","sider","siderophloiae"
"J331","Eucalyptus crebra",-28.29549,151.48801,"Gore, Cunningham Hwy","Eucalyptus crebra","QLD","Gore","creb","crebra","sider","siderophloiae"
"J343","Eucalyptus crebra",-29.35816,151.30991,"Yellow Dam, Emmaville Rd","Eucalyptus crebra","NSW","Yellow Dam","creb","crebra","sider","siderophloiae"
"J417","Eucalyptus crebra",-30.32377,149.26567,"Weewaa","Eucalyptus crebra","NSW","Weewaa","creb","crebra","sider","siderophloiae"
"J431","Eucalyptus crebra",-28.56955,151.07539,"Inglewood","Eucalyptus crebra","NSW","Inglewood","creb","crebra","sider","siderophloiae"
"J321g",NA,NA,NA,NA,NA,"NSW","Polkobin","creb","crebra","sider","siderophloiae"
"J311","Eucalyptus fibrosa ?",-30.60224,149.58173,"Pilliga, Newell Hwy","Eucalyptus fibrosa","NSW","Pilliga","fib","fibrosa","sider","siderophloiae"
"J315","Eucalyptus fibrosa",-30.92855,149.36347,"Pilliga, no 1 break rd","Eucalyptus fibrosa","NSW","Pilliga","fib","fibrosa","sider","siderophloiae"
"J322","Eucalyptus fibrosa",-32.75342,151.25269,"Polkobin, Broke Rd","Eucalyptus fibrosa","NSW","Polkobin","fib","fibrosa","sider","siderophloiae"
"J330","Eucalyptus fibrosa",-28.19138,151.61853,"Karara, Cunningham Hwy","Eucalyptus fibrosa","QLD","Karara","fib","fibrosa","sider","siderophloiae"
"J366","Eucalyptus fibrosa",-33.12436,150.01617,"Gardens of Stone Natl Park, Glen Davis Rd.","Eucalyptus fibrosa","NSW","Gardens of Stone","fib","fibrosa","sider","siderophloiae"
"J370","Eucalyptus fibrosa",-32.62925,151.87758,"Bucketts Way, Stroud Road","Eucalyptus fibrosa","NSW","Stroud","fib","fibrosa","sider","siderophloiae"
"J371","Eucalyptus fibrosa",-32.23292,151.93147,"Bucketts Way, Wards River","Eucalyptus fibrosa","NSW","Wards River","fib","fibrosa","sider","siderophloiae"
"J432","Eucalyptus fibrosa",-28.18033,151.66934,"Glendon","Eucalyptus fibrosa","NSW","Glendon","fib","fibrosa","sider","siderophloiae"
