"sample","reads","bases","perc_gc","non_acgt","coverage","unique_kmers","kmersize"
"J352d",14384224,2124191680,40.9,8942,3.3190495,616192000,31
"J352b",15307916,2247913451,40.4,14796,3.5123647671875,656941811,31
"J355b",9908952,1465408736,39.5,5301,2.28970115,507955236,31
"J355d",9537790,1402780223,40.4,4310,2.1918440984375,483214309,31
"J351_plus",20103216,2983127652,40.2,16911,4.66113695625,831597488,31
"J352i",14856598,2186181634,40.8,13814,3.415908803125,664926375,31
"J352g",16336004,2399703976,41.1,13690,3.7495374625,713269240,31
"J355a",12984920,1917051025,41.7,12198,2.9953922265625,605208665,31
"J355e",10936188,1601894723,40.4,10445,2.5029605046875,555563057,31
"J355g",10897784,1594752535,39.7,11117,2.4918008359375,528044129,31
"J355f",12994294,1919627167,40.6,11773,2.9994174484375,587910274,31
"J354",19947898,2956291504,40.1,17430,4.619205475,731731507,31
"J358",13786026,2042831137,39.7,7969,3.1919236515625,609664283,31
"J357",15417604,2286502482,39.7,13297,3.572660128125,648842119,31
"J359h",7826108,1149373604,40.3,3865,1.79589625625,415386447,31
"J352",29855082,4404243514,40,25055,6.881630490625,906516411,31
"J359b",11448392,1678927690,40.1,11720,2.623324515625,523107531,31
"J359e",11096786,1630696165,40.4,6576,2.5479627578125,512558886,31
"J359a",13876738,2041905478,40.7,13040,3.190477309375,636922806,31
"J359g",12922492,1905035006,40.5,9660,2.976617196875,577575824,31
"J360",10992324,1627730080,39,5695,2.54332825,518065120,31
"J355",28137226,4159566469,40.4,21945,6.4993226078125,888606101,31
"J361a",8437262,1233427340,40,3778,1.92723021875,428298442,31
"J359d",16591942,2440126011,41.2,15867,3.8126968921875,709802910,31
"J359i",15533136,2258595743,41.1,13248,3.5290558484375,647498775,31
"J359c",19037854,2787900493,41.3,12868,4.3560945203125,723377026,31
"J361b",12060920,1769562019,39.7,11196,2.7649406546875,538867300,31
"J361d",11780098,1730028676,40.8,6370,2.70316980625,531768649,31
"J361g",12083360,1783194088,40.9,10998,2.7862407625,570355992,31
"J361c",14456212,2124831432,39.9,15078,3.3200491125,603785755,31
"J361f",13378506,1977916395,41,8442,3.0904943671875,594922063,31
"J359",28763544,4238265584,40.2,26682,6.622289975,939847217,31
"J361e",13537832,1994266435,40.8,8639,3.1160413046875,598731198,31
"J362",10601930,1550228764,40.6,10167,2.42223244375,499378956,31
"J362_young",13835696,2046245995,39.9,12771,3.1972593671875,621916433,31
"J361h",16724788,2439310040,41.7,13945,3.8114219375,713333176,31
"J362a",14665010,2162252853,40.2,12995,3.3785200828125,663472599,31
