"sample","reads","bases","perc_gc","non_acgt","coverage","unique_kmers","kmersize"
"J429h",9611748,1404698670,40.5,10202,2.194841671875,471041947,31
"J429e",13884474,2038985085,40.6,14934,3.1859141953125,591824528,31
"J428g",19830484,2908116666,40.3,12500,4.543932290625,729444166,31
"J430a",10820122,1582746727,40.8,8354,2.4730417609375,511174385,31
"J429a",20066538,2921497666,40.4,13574,4.564840103125,737165322,31
"J430f",8130488,1184861121,40.8,6628,1.8513455015625,419969448,31
"J430a-rep",13293174,1957790545,40.8,10651,3.0590477265625,624737637,31
"J432",6508290,968608074,39.8,6468,1.513450115625,393722048,31
"J430",14381012,2123939264,41.1,13215,3.3186551,646708951,31
"J430d",11999996,1765559566,40.8,11722,2.758686821875,546038099,31
"J431",7952558,1182410085,40.8,5900,1.8475157578125,473754200,31
"J430g",12897508,1895532943,41,8043,2.9617702234375,583024577,31
"J430i",11102206,1630299617,41.1,9788,2.5473431515625,545820400,31
"J430b",15350048,2257863112,41.2,10200,3.5279111125,655919209,31
"J430c",15209868,2253105166,40.6,12608,3.520476821875,694970111,31
"J430e",15055648,2211393867,40.8,15639,3.4553029171875,616804452,31
"J433",12652718,1854154848,40.5,7892,2.89711695,569174102,31
"J433a",10960158,1612977421,40.6,10967,2.5202772203125,516727483,31
"J433h",9043978,1320385891,40.7,7859,2.0631029546875,450046474,31
"J433e",11163400,1640809601,40.7,11204,2.5637650015625,533806199,31
"J433b",13577308,1995641947,40.7,12574,3.1181905421875,611780535,31
"J434",10725018,1569268951,40.5,10125,2.4519827359375,495695069,31
"J433d",14442516,2113559027,41.2,12856,3.3024359796875,619889274,31
"J434a",9725866,1419258956,40.8,7331,2.21759211875,462734948,31
"J433g",12101742,1772414936,41,9724,2.7693983375,557142759,31
"J433f",12827260,1874764947,40.6,11580,2.9293202296875,572097892,31
"J433c",17623646,2578970341,40.8,12045,4.0296411578125,682373659,31
"J435b",9892324,1444228976,41.1,6966,2.256607775,473151338,31
"J430h",24049716,3513991763,41.1,15751,5.4906121296875,767898968,31
"J435",11490240,1680784723,40.4,11095,2.6262261296875,513223850,31
"J435c",9992636,1466839907,41.3,9894,2.2919373546875,492170646,31
"J435f",7411146,1081567408,40.2,5667,1.689949075,392300413,31
"J435a",12955618,1907868850,40.7,13281,2.981045078125,580560470,31
"J434b",14914964,2203292007,41.2,12202,3.4426437609375,687433221,31
"J436b",7251278,1059266345,40.3,7261,1.6551036640625,384195298,31
"J435g",8564544,1252069096,40.4,8217,1.9563579625,430254030,31
"J435d",12912706,1900157526,40.9,10591,2.968996134375,623104673,31
"M1c",1787002,264961201,38.9,1626,0.4140018765625,139664708,31
"J436c-rep",7974232,1170100698,39.9,7405,1.828282340625,418182601,31
"J435e",13287290,1949692198,40.5,13579,3.046394059375,578676089,31
"J435i",10958274,1597216363,41,11224,2.4956505671875,512809814,31
"M2b",737684,108234843,38,695,0.1691169421875,59766224,31
"M2a",1585202,234105871,38.1,1594,0.3657904234375,119734853,31
"J436c",10011662,1463595192,40.1,7983,2.2868674875,472603291,31
"J436e",9321894,1352489205,40.3,8098,2.1132643828125,456574621,31
"NE10467",149094,21217999,41,164,0.0331531234375,13522782,31
"J435h",12830508,1879016645,40.9,13120,2.9359635078125,577786635,31
"NE25923",202508,28988221,41,227,0.0452940953125,17945699,31
"NE25953",162824,23141364,40.8,216,0.03615838125,14609002,31
"NE35955",102132,14356040,40.5,236,0.0224313125,9005857,31
"NE35959",151766,21473189,40.4,201,0.0335518578125,13083136,31
"NE36811",195842,27960300,41.2,373,0.04368796875,16820852,31
"NE37647",116664,16433937,40.6,208,0.0256780265625,10191073,31
"NE37169",149012,20985739,40.7,308,0.0327902171875,12643213,31
"NE67754",117402,16582341,40.5,239,0.0259099078125,10191564,31
"NE4583",163490,22915554,40.8,204,0.035805553125,14124100,31
"NAL05",3795872,546104417,39.4,3900,0.8532881515625,243041611,31
"J436",14657968,2145928049,41.1,11187,3.3530125765625,625578400,31
"NE90535",536648,76963569,39.4,481,0.1202555765625,41433320,31
"J436g",9364450,1363600299,40.5,8873,2.1306254671875,487645323,31
"NCD30",3781048,546860448,39.2,4070,0.85446945,237786232,31
"J436a",15055270,2222211677,40.9,14772,3.4722057453125,646440938,31
"NBJ30",4378682,652318764,39.8,1913,1.01924806875,337647846,31
"J436d",10815788,1584211493,40.2,9279,2.4753304578125,558425509,31
"J436f",11723024,1713974736,40.6,10159,2.678085525,527422595,31
"blank_31",341206,49542554,40.7,280,0.077410240625,30917246,31
"blank_32",174586,25382863,40.9,261,0.0396607234375,15849118,31
"J438",8548814,1246302044,40.1,6704,1.94734694375,429877700,31
"blank_41",457860,66705633,40.8,345,0.1042275515625,42099166,31
"NDU10",3792820,549387857,39,4249,0.8584185265625,244099990,31
"blank_51",104660,14921364,40.1,259,0.02331463125,9267607,31
"J436i",10145552,1484256476,40.5,9815,2.31915074375,486448575,31
"blank_61",95320,13624969,40.6,279,0.0212890140625,8376732,31
"blank_42",295516,42881665,41,531,0.0670026015625,26638928,31
"blank_52",180964,26054398,40.7,454,0.040709996875,16359271,31
"blank_62",114652,16520457,41.1,174,0.0258132140625,10399382,31
"NCR13",5712532,833738000,39.8,3263,1.302715625,335340406,31
"J436h",11138040,1638927239,40.6,12211,2.5608238109375,524309642,31
"VWG14",3177574,454844186,39.5,3427,0.710694040625,214175796,31
"J437",13409424,1968050759,41,11539,3.0750793109375,592851596,31
"VMA18",7321866,1068533500,39.3,7715,1.66958359375,409583338,31
"RA1007",11262292,1658174794,40.6,9765,2.590898115625,524746666,31
"TLC726",11698178,1727918793,40.2,10955,2.6998731140625,561105405,31
"TLC715",12200774,1802493307,39.8,10071,2.8163957921875,577268840,31
"TLC775",12281168,1817405394,39.6,11474,2.839695928125,606301198,31
"TLC720",14992250,2226027622,40.1,8674,3.478168159375,770252852,31
"TLC725",18767322,2779284557,39.8,12224,4.3426321203125,714861172,31
"RA1006",28974506,4265052156,40,26946,6.66414399375,852843616,31
