"sample","yield.mb","read.num","coverage"
"J355_S80",2204,7296918,3.44375
"J355a",1961,6492460,3.0640625
"J355b",1496,4954476,2.3375
"J355c",52,170962,0.08125
"J355d",1440,4768895,2.25
"J355e",1651,5468094,2.5796875
"J355f",1962,6497147,3.065625
"J355g",1646,5448892,2.571875
"J357",2328,7708802,3.6375
"J358",2082,6893013,3.253125
"J359_S16",2369,7843932,3.7015625
"J359_S179",1974,6537840,3.084375
"J359a",2095,6938369,3.2734375
"J359b",1729,5724196,2.7015625
"J359c",2875,9518927,4.4921875
"J359d",2505,8295971,3.9140625
"J359e",1676,5548393,2.61875
"J359g",1951,6461246,3.0484375
"J359h",1182,3913054,1.846875
"J359i",2346,7766568,3.665625
"J360",1660,5496162,2.59375
"J361_S183",2555,8460378,3.9921875
"J361_S84",2543,8418781,3.9734375
"J361a",1274,4218631,1.990625
"J361b",1821,6030460,2.8453125
"J361c",2182,7228106,3.409375
"J361d",1779,5890049,2.7796875
"J361e",2044,6768916,3.19375
"J361f",2020,6689253,3.15625
"J361g",1825,6041680,2.8515625
"J361h",2525,8362394,3.9453125
"J361i",2765,9154546,4.3203125
"J362",1601,5300965,2.5015625
"J362_young",2089,6917848,3.2640625
"J362a",2214,7332505,3.459375
"J362b",2191,7254497,3.4234375
"J363",3792,12558324,5.925
"J363_plus",2410,7980225,3.765625
"J364",3054,10114073,4.771875
"J365",2091,6921898,3.2671875
"J366",3080,10201387,4.8125
"J366_plus",1732,5735823,2.70625
"J367_S300",1614,5344841,2.521875
"J367_S54",2229,7379694,3.4828125
"J367a",1508,4992862,2.35625
"J367b",2718,8998488,4.246875
"J367c",1585,5246911,2.4765625
"J367d",2210,7315396,3.453125
"J367e",1857,6151120,2.9015625
"J367f",1937,6412475,3.0265625
"J367g",1788,5921064,2.79375
"J367h",2285,7567702,3.5703125
"J367i_S289",2257,7473656,3.5265625
"J367i_S4",1526,5051015,2.384375
"J368",1455,4818799,2.2734375
"J369",1756,5815235,2.74375
"J370",1812,6002027,2.83125
"J371",2126,7039528,3.321875
"J372",2487,8234410,3.8859375
"J373",1957,6479840,3.0578125
"J374_S314",2193,7263274,3.4265625
"J374_S62",1407,4659281,2.1984375
"J374a",1778,5884476,2.778125
"J374b",1723,5706232,2.6921875
"J374c",1289,4267863,2.0140625
"J374d",1620,5364203,2.53125
"J374e",2047,6778875,3.1984375
"J374f",2004,6636296,3.13125
"J374g",1545,5116270,2.4140625
"J374h",1650,5460429,2.578125
"J374i",1512,5006550,2.3625
"J375",2275,7534729,3.5546875
"J375-rep1",359,1187555,0.5609375
"J376_S28",946,3132143,1.478125
"J376_S332",1907,6316877,2.9796875
"J376a",1647,5454040,2.5734375
"J376a-rep",1695,5611264,2.6484375
"J376b",1738,5756067,2.715625
"J376c",2012,6661509,3.14375
"J376d",1819,6022445,2.8421875
"J376e",2128,7044598,3.325
"J376f",1501,4972661,2.3453125
"J376g",1368,4532673,2.1375
"J376h",2204,7299066,3.44375
"J376i",2186,7238239,3.415625
"J377",1764,5842196,2.75625
"J377a",1569,5193911,2.4515625
"J377b",2156,7136977,3.36875
"J377c",2115,7004646,3.3046875
"J377d",2113,6994803,3.3015625
"J377e",1486,4920489,2.321875
"J377e-rep",1264,4185936,1.975
"J377g",1490,4935917,2.328125
"J377h",1730,5728820,2.703125
"J377i",1362,4508921,2.128125
"J379",2065,6837269,3.2265625
"J381",1587,5255502,2.4796875
"J382a",1765,5843686,2.7578125
"J382b",2126,7041166,3.321875
"J382c",2083,6895869,3.2546875
"J382d",1973,6533577,3.0828125
"J382e",1980,6559108,3.09375
"J382f",1663,5507125,2.5984375
"J382g",2115,7005970,3.3046875
"J382h",2051,6793036,3.2046875
"J382i",2166,7171073,3.384375
"J383",1436,4753884,2.24375
"J385_S163",1846,6109614,2.884375
"J385_S20",2447,8103764,3.8234375
"J385-rep_S157",1834,6073672,2.865625
